ADG_CODE,GOOD_NAME,BRAND,CATEGORY
6203,ՏՂԱՄԱՐԴՈՒ ՀԱՔՈՒՍՏԻ ԿՈՄՊԼԵԿՏ ԱՌԱՆՑ ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆԻ ՎԵՐևԱՄԱՍ ԿԱՅԾԱԿ ՃԱՐՄԱՆԴՈՎ և ՏԱԲԱՏ 210 ՀԱՏ 105 ՀԱՏ ՍԵՎ 105 ՀԱՏ ԿԱՆԱՉ,Unknown,Clothing
1602,ԳԱՆՁԱՍԱՐ ԿՐՑՔԱՄԻՍ,Ganjasar,Other
4803,Սիլկ Սոֆտ Սրբիչ խոհանոցի 2շ Ջամբո 5282,Unknown,Household
4901,Մուժչինը ս Մարսա ժենշչինը ս Վեները,Unknown,Other
2001,Աելո ձիթապտուղ կանաչ կորիզով 520գ,Unknown,Other
1806,Շոկ Հավ Warner Hudson 150գ,Unknown,Other
210,կոտլետ Գանձասար կգ,Ganjasar,Food Products
8703,ՄԱՐԴԱՏԱՐ Ա/Մ MITSUBISHI OUTLANDER SPORT SE 2 0Լ 07/2019Թ _x000D_ VIN JA4AR3AU7LU001151,Unknown,Auto Parts
3005,Ներարկիչ Sitek Med 50մլ 18G N1,Unknown,Other
4823,Անձ սիլկ սոֆտ քաշովի 150հատ 3շ,Unknown,Other
6106,KAROl-վերնաշ-spitak 8008,Unknown,Other
2202,Զովացուցիչ ըմպելիք Coca Cola 0 25լ///,Coca-Cola,Beverages
8708,MERCEDES-BENZ ՄԱԿՆԻՇԻ W210 ՄՈԴԵԼԻ 1996-1999թթ Ա/Մ-ՐԻ ՀԱՄԱՐ ՆԱԽԱՏԵՍՎԱԾ՝ ՀԵՏևԻ ԹԱՓԱՐԳԵԼ /ԼՐԱԿԱԶՄ/ ՕԳՏԱԳՈՐԾՎԱԾ - 1ՀԱՏ ԸՍՏ ՓՈՐՁ ԵԶՐ N 01742501 առ 09 06 2025թ,Mercedes-Benz,Auto Parts
2309,ՌՈՅԱԼ ՄԻՆԻ ԸԴԱԼԹ 8 կգ,Royal,Other
101,կինդեռ սալիկ մեծ,Unknown,Other
2936,Ապաչի տուկ մեծ,Apache,Other
2007,Կոմպոտ Royal 1լ Ծիրանի,Royal,Beverages
1905,վաֆլի բարակ կոկոս Յաշկինո 144գ,Yashkino,Food Products
6110,ԿԱՆԱՑԻ ՏՐԻԿՈՏԱԺԵ ՋԵՄՊԵՐՆԵՐ ՔԻՄԻԱԿԱՆ ԹԵԼԵՐԻՑ MARELLA SPORT EMME MARELLA,Unknown,Clothing
1806,Կոնֆետներ Միլկա Ցանկութուն 110գ,Milka,Food Products
3402,Լվացքի փոշի Սավեքս 2-ը 1-ում ֆրեշ ավտոմատ կ,Savax,Household
1806,Ձվիկ Կինդեր սյուրպրիզ կաթնային շոկոլադ 20գ///,Unknown,Food Products
8708,ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ԴԻՄԱՑԻ ԹԱՓԱՐԳԵԼԻ ՀԱՎԱՔԱԾՈՒ՝ GBT ՄԱԿՆՇՄԱՄԲ ՆԱԽԱՏԵՍՎԱԾ MERCEDES G CLASS W463 ՄԱԿՆԻՇԻ 2012-2018ԹԹ Ա/Մ-Ի ՀԱՄԱՐ ԱՌԱՆՑ ԱՐՏԻԿՈՒԼ - 5 ՀԱՎԱՔ,Mercedes-Benz,Auto Parts
1806,ՆԵՍԿԱՖԵ Շոկ սալիկ ԿԻՏ_ԿԱՏ 41 5գ,Nescafe,Beverages
6404,ՍՊՈՐՏ 1HP DR K21 GREY/38,Unknown,Clothing
2202,Զովացուցիչ ըմպելիք Coca-Cola 1 5լ,Coca-Cola,Beverages
1902,Խինկալի Մինի կգ Աթենք,Athenk,Food Products
8415,ՕԴԱԿԱՐԳԱՎՈՐԻՉ ԴՐՍԻ ԲԼՈԿ GIWEE GCHV-D260W/HZR1-100 2 ՀԱՏ,Unknown,Electronics
6207,կն շապիկ 162p մարմնագույն s,Unknown,Clothing
901,ՍՈՒՐՃ ԼՈՒԾՎՈՂ ՆԵՍԿԱՖԵ ԿԼԱՍԻԿ ԿՐԵՄԱ 190Գ,Nescafe,Beverages
3305,Ներկ մազի Garnier կարմիր 910,Garnier,Cosmetics
1601,ԵՐՇ ՖԻՆՆԱԿԱՆ ԳԱՆՁԱՍԱՐ,Ganjasar,Other
2008,Արև Ապաչի գծ 140գ,Apache,Other
4820,Ալբոմ A5 հաստ կողով Royal RHSB-A5,Royal,Other
3306,ատամի մած Colgate Maximum 100մլ,Colgate,Other
4803,Անձ 150-հ Silk Soft 3շ 70112,Silk Soft,Other
6402,POJS2405INV-26 սպորտ կոշիկ POWERFULL JR 2405 PETR,Unknown,Clothing
3304,Միցելային ջուր Գարնիեր 400մլ,Garnier,Cosmetics
2204,Գինի Վիվատ Արմենիա Կար անապ 0 75լ,Unknown,Beverages
2402,Ծխախոտ արարատ Էկսկլյուզիվ սլիմս,Unknown,Other
1602,ԽԻՆԿԱԼԻ ԿԳ-ՈՎ ԱԹԵՆՔ,Athenk,Food Products
8708,MERCEDES BENZ E CLASS 200 CGI 2012 Թ-Ի ԱՐՏԱԴՐՈԻԹՅԱՆ ԿԱԽՈՑԻ ՀԱՐՎԱԾԱՄԵՂՄԻՉՆԵՐ 2 ՀԱՏ ՆՈՐ,Mercedes-Benz,Auto Parts
8528,ՀԵՌՈՒՍՏԱՑՈՒՅՑ SAMSUNG UE65U8000FUXRU 65 ԴՅՈՒՅՄ ՀԵՂՈՒԿ ԲՅՈՒՐԵՂՅԱ ԷԿՐԱՆՈՎ ՀԱՄԱԿՑՎԱԾ ՁԱՅՆԻ ԵՎ ՊԱՏԿԵՐԻ ՎԵՐԱՐՏԱԴՐՄԱՆ ՍԱՐՔԱՎՈՐՈՒՄՈՎ SN 0AVN3K1Y500149V_x000D_ 0AVN3K1Y500150X 0AVN3K1Y500151Y_x000D_ 0AVN3K1Y500152T 0AVN3K1Y500153M_x000D_ 0AVN3K1Y500154F 0AVN3K1Y500155D_x000D_ 0AVN3K1Y500156Z 0AVN3K1Y500157L_x000D_ 0AVN3K1Y500158J 0AVN3K1Y500159E_x000D_ 0AVN3K1Y500160B 0AVN3K1Y500162R_x000D_ 0AVN3K1Y500164Y_x000D_ 0AVN3K1Y500165T_x000D_ 0AVN3K1Y500166M_x000D_ 0AVN3K1Y500236E_x000D_ 0AVN3K1Y500237P_x000D_ 0AVN3K1Y500238K_x000D_ 0AVN3K1Y500239V_x000D_ 0AVN3K1Y500240X_x000D_ 0AVN3K1Y500242T_x000D_ 0AVN3K1Y500286H_x000D_ 0AVN3K1Y500314P_x000D_ 0AVN3K6Y500266H_x000D_ 0AVN3K6Y500267N_x000D_ 0AVN3K6Y500268A_x000D_ 0AVN3K6Y500269B_x000D_ 0AVN3K6Y500270F_x000D_ 0AVN3K6Y500271D_x000D_ 0AVN3K6Y500272Z_x000D_ 0AVN3K6Y500273L_x000D_ 0AVN3K6Y500275E_x000D_ 0AVN3K6Y500276P_x000D_ 0AVN3K6Y500277K_x000D_ 0AVN3K6Y500278V_x000D_ 0AVN3K6Y500279H_x000D_ 0AVN3K6Y500280Y_x000D_ 0AVN3K6Y500282M_x000D_ 0AVN3K6Y500283F,Samsung,Electronics
3307,Սափրվելու փրփուր Gillette 200մլ սենսիտիվ,Gillette,Cosmetics
1806,Թ/բլիթ բիսկվիտային Միլկա շոկ միջուկով 175գ,Milka,Other
3305,garniiier fructis,Unknown,Other
410,Կետչուպ Արտֆուդ 1961 250մլ,Artfood,Food Products
9619,Տակդիր PAMPERS վարտիք15 S6 25 Մասնիկ,Pampers,Household
1105,Աղի ձողիկ APACHE 200g,Apache,Other
,Մածուկ Կոլգեյթ Max Fresh Cln Mint 10 0մլ,Colgate,Other
2208,Կոնյակ գորնայա Արմենիա 3 աստղ 0 5լ,Unknown,Clothing
9619,Տակդիր Պամպերս պրեմիում 9-14կգ 4 34,Pampers,Household
,Սուրճ Ռոյալ Արմենիա աղացած կլասիկ 100գ,Royal,Beverages
1905,ՊԵՉԵՆԻ ՇՈԿՈԼԱԴԱՅԻՆ DAROINK,Daroink,Food Products
8541,ԱՐԵՎԱՅԻՆ ՊԱՆԵԼՆԵՐ՝ RISEN ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆՈՎ RSM 132-8-700BHDG 700 WT,Unknown,Other
1806,Ռոշեն Միլկի Սփլեշ կգ,Roshen,Other
2208,ԱՐՄԵՆԻԱ գինի 15 0 75ՄԼ ԿԱՐՄԻՐ ԱՆԱՊԱԿ,Unknown,Beverages
1601,Երշիկ Բժշկական Էքստա Գանձասար,Ganjasar,Food Products
2105,Պաղպաղակ Լակոմկա Գրանդ Քենդի,Grand Candy,Food Products
1905,Թխվածքաբլիթ Ռոշեն Լովիտա պնդուկով 127գ,Roshen,Food Products
1806,Վաֆլի Միլկա 150 գր,Milka,Food Products
,Հեռուստացույց Samsung TV UE50TU7002UXCE,Samsung,Electronics
2106,daroink croissant kg,Daroink,Other
1601,Արմենիա միթֆուդ երշիկ պրեմա,Unknown,Food Products
208,ԱԹԵՆՔ խոզի Ջերքի 30գ QR,Athenk,Other
6203,QUIZZO VRTN SPITAK 5983,Unknown,Other
6111,ՄԱՆԿԱԿԱՆ ՏՐԻԿՈՏԱԺԵ ՍՎԻՏԵՐՆԵՐ ՄԻՆՉԵՎ 86 ՍՄ ՀԱՍԱԿՈՎ ՏՂԱՆԵՐԻ ՀԱՄԱՐ ԲԱՄԲԱԿԵ ՄԱՆՎԱԾՔԻՑ 6 ՀԱՏ ZARA,Zara,Clothing
3304,Կրեմ ունիվերսալ Nivea 250 մլ,Nivea,Cosmetics
1806,Կոնֆետ Գրանդ Քենդի Ջունիոր կաթնային շոկոլադ սերուց,Grand Candy,Food Products
2005,Առտֆոոդ տոմատի մածուկ 270գ,Unknown,Other
8212,ԱՆՎՏԱՆԳ ԱԾԵԼԻՆԵՐ GILLETTE MACH 3 TURBO,Gillette,Cosmetics
4014,ՀՈՏԱԶԵՐԾԻՉ ՌՈԼԼ ՆԻՎԵԱ ՏՂԱՄԱՐԴՈՒ 50ՄԼ,Nivea,Cosmetics
6111,ՄԱՆԿԱԿԱՆ ՏՐԻԿՈՏԱԺԵ ՎԵՐՆԱՇԱՊԻԿՆԵՐ ՄԻՆՉԵՎ 86 ՍՄ ՀԱՍԱԿՈՎ ԱՂՋԻԿՆԵՐԻ ՀԱՄԱՐ ԲԱՄԲԱԿԵ ՄԱՆՎԱԾՔԻՑ 2 ՀԱՏ ZARA,Zara,Clothing
6505,Գլխարկ Bucket Hat 235289-6-59-S,Unknown,Clothing
2101,Սուրճ Ռոյալ Արմենիա Բլյու 100գ,Royal,Beverages
6203,ՏՂԱՆԵՐԻ ՏԱԲԱՏ ՋԻՆՍԵ ԳՈՐԾՎԱԾՔԻՑ ZARA,Zara,Clothing
,Տակդիր Փամփերս պրեմիում N2 N88,Unknown,Household
1905,Թխվ Roshen Esmeralda 150գ դարկ շոկո,Roshen,Other
,Вода Газированная Coca cola кофе ж/б 0 25л л,Coca-Cola,Other
101,ՁԻԹ ԿԱՆԱՉ ԿՈՐԻԶՈՎ 314 Թ/Տ,Unknown,Other
711,Հյութ Արտֆուդ լոլիկի 1լ,Artfood,Beverages
1905,Վաֆլի Grand Candy կգ,Grand Candy,Food Products
3306,Կոլգեյթ Ատամի մածուկ 100մլ մաքս ֆրեշ կանաչ,Colgate,Cosmetics
3304,Կրեմ ձեռքի ձիթապտղի /Նիվեա/ 75մլ /84605/,Nivea,Cosmetics
6115,Տղամարդու վարտիք Ալեքս սև M,Alex,Clothing
2204,Գինի Արմենիա սպիտակ անապակ 0 7լ,Unknown,Beverages
6109,Վերնազգեստ տղ Relaxed Baby Tab 79554-0032-S,Unknown,Clothing
8517,ՁԱՅՆԱՅԻՆ ԱԶԴԱՆՇԱՆԻ ՓՈԽԱԿԵՐՊԻՉ-ԲԱՇԽԻՉ ՎԱՀԱՆԱԿՆԵՐ PALMER PRM-LS ELCAUD-0002,Unknown,Other
2101,Յաշկինո վաֆլի ռոմբո 200գ,Yashkino,Food Products
1601,Գանձասար Կողեր ԿԳ,Ganjasar,Other
