ADG_CODE,GOOD_NAME,BRAND,CATEGORY,text_input
1905,ԿՈԶԻՆԱԽ ապաչի,Apache,Other,ԿՈԶԻՆԱԽ ապաչի [BRAND] Apache [CAT] Other
3401,Լոգանքի գել-խնամք Նիվեա ածուխի ուժը 500մլ,Nivea,Cosmetics,Լոգանքի գել-խնամք Նիվեա ածուխի ուժը 500մլ [BRAND] Nivea [CAT] Cosmetics
1206,Արևածաղկի սերմեր Ապաչի Միքս 80գ,Apache,Other,Արևածաղկի սերմեր Ապաչի Միքս 80գ [BRAND] Apache [CAT] Other
2105,Մարիաննա՝ Պաղպ Վաֆլե բաժ,Marianna,Other,Մարիաննա՝ Պաղպ Վաֆլե բաժ [BRAND] Marianna [CAT] Other
1806,Կինդեռ Բուենո Ձվիկ 80գ,Unknown,Other,Կինդեռ Բուենո Ձվիկ 80գ [BRAND] Unknown [CAT] Other
3306,Ատամի մածուկ Optic White Charcoal 75մլ Colgate,Colgate,Cosmetics,Ատամի մածուկ Optic White Charcoal 75մլ Colgate [BRAND] Colgate [CAT] Cosmetics
6105,Ամառային շապիկ կանաչ,Unknown,Clothing,Ամառային շապիկ կանաչ [BRAND] Unknown [CAT] Clothing
1601,երշիկ կոնյակով Գանձասար Աթենք 1հ,Ganjasar,Food Products,երշիկ կոնյակով Գանձասար Աթենք 1հ [BRAND] Ganjasar [CAT] Food Products
1601,Նրբերշիկ ծխեցրած Գանձասար 350գ,Ganjasar,Food Products,Նրբերշիկ ծխեցրած Գանձասար 350գ [BRAND] Ganjasar [CAT] Food Products
6115,Գուլպա մանկական Ալեքս 1788,Alex,Clothing,Գուլպա մանկական Ալեքս 1788 [BRAND] Alex [CAT] Clothing
6104,4065717852065 Ժիլետ,Gillette,Clothing,4065717852065 Ժիլետ [BRAND] Gillette [CAT] Clothing
406,Հալ պանիր Մարիաննա Սերուցքային 180գր,Marianna,Food Products,Հալ պանիր Մարիաննա Սերուցքային 180գր [BRAND] Marianna [CAT] Food Products
2001,Բարի ախորժակ 720 մլ Artfood,Artfood,Other,Բարի ախորժակ 720 մլ Artfood [BRAND] Artfood [CAT] Other
901,ՆԵՍԿԱՖԵ 3/1 ում 9 Հատ,Nescafe,Beverages,ՆԵՍԿԱՖԵ 3/1 ում 9 Հատ [BRAND] Nescafe [CAT] Beverages
1806,Շոկ Սալիկ Ռոշեն 90գ Մրգային,Roshen,Other,Շոկ Սալիկ Ռոշեն 90գ Մրգային [BRAND] Roshen [CAT] Other
101,ՊԱՆԻՐ ՉԱՆԱԽ ՎԱԿՈՒՄ ՄԱՐԻԱՆՆԱ- ԿԳ,Marianna,Food Products,ՊԱՆԻՐ ՉԱՆԱԽ ՎԱԿՈՒՄ ՄԱՐԻԱՆՆԱ- ԿԳ [BRAND] Marianna [CAT] Food Products
901,ՍՈՒՐՃ ՆԵՍԿԱՖԵ ԴԱՍԱԿԱՆ 47 5Գ Ա/Տ,Nescafe,Beverages,ՍՈՒՐՃ ՆԵՍԿԱՖԵ ԴԱՍԱԿԱՆ 47 5Գ Ա/Տ [BRAND] Nescafe [CAT] Beverages
1905,Դարոինք թխվացքաբլիթ Գազանիկ 350գ,Daroink,Other,Դարոինք թխվացքաբլիթ Գազանիկ 350գ [BRAND] Daroink [CAT] Other
6112,տղ սպորտ 3303,Unknown,Clothing,տղ սպորտ 3303 [BRAND] Unknown [CAT] Clothing
2204,Գինի Art Armenia սպիտակ չոր 0 75լ,Art Armenia,Beverages,Գինի Art Armenia սպիտակ չոր 0 75լ [BRAND] Art Armenia [CAT] Beverages
2101,Սուրճ Nescafe classic 34g,Nescafe,Beverages,Սուրճ Nescafe classic 34g [BRAND] Nescafe [CAT] Beverages
6103,Սպորտ տաբատ տղու 7490,Unknown,Clothing,Սպորտ տաբատ տղու 7490 [BRAND] Unknown [CAT] Clothing
9619,պամպեռս 1,Unknown,Other,պամպեռս 1 [BRAND] Unknown [CAT] Other
1905,Քաղցր Ձողիկ Apache 85գ,Apache,Other,Քաղցր Ձողիկ Apache 85գ [BRAND] Apache [CAT] Other
4016,KV21121003020 Прокладка ГБЦ для ам ВАЗ2110 с герме,Unknown,Auto Parts,KV21121003020 Прокладка ГБЦ для ам ВАЗ2110 с герме [BRAND] Unknown [CAT] Auto Parts
406,Մարիաննա Պանիր Թել Գունավոր 150գր,Marianna,Food Products,Մարիաննա Պանիր Թել Գունավոր 150գր [BRAND] Marianna [CAT] Food Products
8708,ՍԿԱՎԱՌԱԿԱՅԻՆ ԱՐԳԵԼԱԿՄԱՆ ՀԱՄԱԿԱՐԳԻ ԿՈՃՂԱԿՆԵՐ MERCEDES-BENZ 2000-2009 ԹԹ ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՀԱՄԱՐ WXQP 140223 140245 - 78 ՀԱՎ,Mercedes-Benz,Auto Parts,ՍԿԱՎԱՌԱԿԱՅԻՆ ԱՐԳԵԼԱԿՄԱՆ ՀԱՄԱԿԱՐԳԻ ԿՈՃՂԱԿՆԵՐ MERCEDES-BENZ 2000-2009 ԹԹ ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՀԱՄԱՐ WXQP 140223 140245 - 78 ՀԱՎ [BRAND] Mercedes-Benz [CAT] Auto Parts
3306,Կոլգեյթ էքստրա 100,Colgate,Other,Կոլգեյթ էքստրա 100 [BRAND] Colgate [CAT] Other
1806,Շոկոլադե կոնֆետներ Չրեր Գրանդ Քենդի կգ,Grand Candy,Food Products,Շոկոլադե կոնֆետներ Չրեր Գրանդ Քենդի կգ [BRAND] Grand Candy [CAT] Food Products
2202,Գազավորված ըմպելիք Coca Cola 250 ml,Coca-Cola,Beverages,Գազավորված ըմպելիք Coca Cola 250 ml [BRAND] Coca-Cola [CAT] Beverages
6115,Գուլպա Ալեքս Ֆեմիլի WTG 52109,Alex,Clothing,Գուլպա Ալեքս Ֆեմիլի WTG 52109 [BRAND] Alex [CAT] Clothing
1905,Վաֆլի Յաշկինո TWIGGY 185գր,Yashkino,Food Products,Վաֆլի Յաշկինո TWIGGY 185գր [BRAND] Yashkino [CAT] Food Products
2202,Կոկա-Կոլա Կլասսիկ 1լ,Coca-Cola,Beverages,Կոկա-Կոլա Կլասսիկ 1լ [BRAND] Coca-Cola [CAT] Beverages
3208,ներկ նիտրո աէրոզոլ AEROPAK N27 կանաչ տերև 285գր ծ,Unknown,Cosmetics,ներկ նիտրո աէրոզոլ AEROPAK N27 կանաչ տերև 285գր ծ [BRAND] Unknown [CAT] Cosmetics
1905,Վաֆլե Գլանակ Դարոյնք Շոկոլադե Միջուկով կգ,Daroink,Food Products,Վաֆլե Գլանակ Դարոյնք Շոկոլադե Միջուկով կգ [BRAND] Daroink [CAT] Food Products
3305,Ներկ Գարնիեր N10,Garnier,Cosmetics,Ներկ Գարնիեր N10 [BRAND] Garnier [CAT] Cosmetics
1601,ԱԹԵՆՔ ԽՈԶԱՊՈՒԽՏ ԿԳ,Athenk,Other,ԱԹԵՆՔ ԽՈԶԱՊՈՒԽՏ ԿԳ [BRAND] Athenk [CAT] Other
2402,Ծխախոտ Ararat Special blue 84/5 4,Unknown,Other,Ծխախոտ Ararat Special blue 84/5 4 [BRAND] Unknown [CAT] Other
3401,Թաց անձեռոցիկ Սիլկ Սոֆթ մանկական 60հ,Silk Soft,Household,Թաց անձեռոցիկ Սիլկ Սոֆթ մանկական 60հ [BRAND] Silk Soft [CAT] Household
1601,Խոզապուխտ Պապրիկանա Աթենք կգ,Athenk,Other,Խոզապուխտ Պապրիկանա Աթենք կգ [BRAND] Athenk [CAT] Other
9619,տակդիր Pampers prem N4 52հտ 7-14կգ,Pampers,Household,տակդիր Pampers prem N4 52հտ 7-14կգ [BRAND] Pampers [CAT] Household
901,coca-cola 250 ml,Coca-Cola,Beverages,coca-cola 250 ml [BRAND] Coca-Cola [CAT] Beverages
2101,Nescafe սառը սուրճ 240ml,Nescafe,Beverages,Nescafe սառը սուրճ 240ml [BRAND] Nescafe [CAT] Beverages
8301,Բռնակ պատուհանի մետաղական սպիտակ,Unknown,Other,Բռնակ պատուհանի մետաղական սպիտակ [BRAND] Unknown [CAT] Other
101,ԿԱԹՆԱՇՈՌԱՅԻՆ ՊԱՆԻՐ ՄԱՐԻԱՆՆԱ 300 գ,Marianna,Food Products,ԿԱԹՆԱՇՈՌԱՅԻՆ ՊԱՆԻՐ ՄԱՐԻԱՆՆԱ 300 գ [BRAND] Marianna [CAT] Food Products
1905,ԴԱՐՈԻՆՔ ԻՐԻՍ ԿԳ,Daroink,Other,ԴԱՐՈԻՆՔ ԻՐԻՍ ԿԳ [BRAND] Daroink [CAT] Other
3306,ատամի մած Colgate 75մլ մանկական,Colgate,Clothing,ատամի մած Colgate 75մլ մանկական [BRAND] Colgate [CAT] Clothing
3305,Գարնիեր ներկ Վարսերի համար Սենսաթիոն 4 12,Garnier,Cosmetics,Գարնիեր ներկ Վարսերի համար Սենսաթիոն 4 12 [BRAND] Garnier [CAT] Cosmetics
3306,Քոլգեյթ մանկական ելակի,Colgate,Clothing,Քոլգեյթ մանկական ելակի [BRAND] Colgate [CAT] Clothing
1905,Կինդեր Սյուրպրիզ MAXI 100գ,Unknown,Other,Կինդեր Սյուրպրիզ MAXI 100գ [BRAND] Unknown [CAT] Other
6115,Գուլպա Ալեքս սպորտ կանացի սև 31-34 չափս W-5706,Alex,Clothing,Գուլպա Ալեքս սպորտ կանացի սև 31-34 չափս W-5706 [BRAND] Alex [CAT] Clothing
901,Սուրճ Royal brazilia 100g,Royal,Beverages,Սուրճ Royal brazilia 100g [BRAND] Royal [CAT] Beverages
6112,ԱՂՋԻԿՆԵՐԻ ՏՐԻԿՈՏԱԺԵ ԼՈՂԱԶԳԵՍՏՆԵՐ ԱՅԼ ՄԱՆԱԾԱԳՈՐԾԱԿԱՆ ՆՅՈՒԹԵՐԻՑ ZARA,Zara,Clothing,ԱՂՋԻԿՆԵՐԻ ՏՐԻԿՈՏԱԺԵ ԼՈՂԱԶԳԵՍՏՆԵՐ ԱՅԼ ՄԱՆԱԾԱԳՈՐԾԱԿԱՆ ՆՅՈՒԹԵՐԻՑ ZARA [BRAND] Zara [CAT] Clothing
1806,Քինդեր դելիսե,Unknown,Other,Քինդեր դելիսե [BRAND] Unknown [CAT] Other
3306,Ատամի մածուկ Colgate Senstive Սպիտակեցում 75գ,Colgate,Cosmetics,Ատամի մածուկ Colgate Senstive Սպիտակեցում 75գ [BRAND] Colgate [CAT] Cosmetics
1601,Եփած երշիկ Գանձասար,Ganjasar,Food Products,Եփած երշիկ Գանձասար [BRAND] Ganjasar [CAT] Food Products
2101,ըմպելիք Milka Chocolate կարամելային 250մլ,Milka,Beverages,ըմպելիք Milka Chocolate կարամելային 250մլ [BRAND] Milka [CAT] Beverages
2105,Գլանակ Վաֆլի Մարիաննա,Marianna,Food Products,Գլանակ Վաֆլի Մարիաննա [BRAND] Marianna [CAT] Food Products
2202,Grand Candy // ՍԱՌ ԹԵՅ//,Grand Candy,Beverages,Grand Candy // ՍԱՌ ԹԵՅ// [BRAND] Grand Candy [CAT] Beverages
1704,Ձեռնոց ոչ ստերիլ S N100,Unknown,Other,Ձեռնոց ոչ ստերիլ S N100 [BRAND] Unknown [CAT] Other
3925,Соединитель К55 ДУБ РСТ 220 03 С,Unknown,Other,Соединитель К55 ДУБ РСТ 220 03 С [BRAND] Unknown [CAT] Other
1905,Փափկաբլիթ Գրանդ Քենդի Սմայլիկ իրիսային միջուկով 5,Grand Candy,Other,Փափկաբլիթ Գրանդ Քենդի Սմայլիկ իրիսային միջուկով 5 [BRAND] Grand Candy [CAT] Other
1206,Արևածաղիկ Ապաչի սև-սպիտակ 70գ,Apache,Other,Արևածաղիկ Ապաչի սև-սպիտակ 70գ [BRAND] Apache [CAT] Other
3305,Շամպուն Nivea 250մլ,Nivea,Cosmetics,Շամպուն Nivea 250մլ [BRAND] Nivea [CAT] Cosmetics
3306,Կոլգեյթ Ատամի մածուկ 50 մլ օպտիկ,Colgate,Cosmetics,Կոլգեյթ Ատամի մածուկ 50 մլ օպտիկ [BRAND] Colgate [CAT] Cosmetics
8512,ՀԱԼՈԳԵՆ ՁԱԽ GX470 ԿԱՆԱՉ 0 65,Unknown,Other,ՀԱԼՈԳԵՆ ՁԱԽ GX470 ԿԱՆԱՉ 0 65 [BRAND] Unknown [CAT] Other
2005,Ախորժակ Արտֆուդ 720մլ шт,Artfood,Other,Ախորժակ Արտֆուդ 720մլ шт [BRAND] Artfood [CAT] Other
2205,Գինի արմենիա 0 75 նռան կ/ք ԳԱ,Unknown,Beverages,Գինի արմենիա 0 75 նռան կ/ք ԳԱ [BRAND] Unknown [CAT] Beverages
3917,ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՕԴԱՏԱՐ ՊԼ ՃԿԱԽՈՂՈՎԱԿ՝ ՈՒՆԻՎԵՐՍԱԼ MERCEDES-BENZ ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆԻ ԱՐՏԻԿՈՒԼ՝ A1665000161 1 ՀԱՏ,Mercedes-Benz,Auto Parts,ՄԱՐԴԱՏԱՐ Ա/Մ-Ի ՕԴԱՏԱՐ ՊԼ ՃԿԱԽՈՂՈՎԱԿ՝ ՈՒՆԻՎԵՐՍԱԼ MERCEDES-BENZ ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆԻ ԱՐՏԻԿՈՒԼ՝ A1665000161 1 ՀԱՏ [BRAND] Mercedes-Benz [CAT] Auto Parts
1806,Բատոն Քինդեր Բուենոս սև 43գր,Unknown,Other,Բատոն Քինդեր Բուենոս սև 43գր [BRAND] Unknown [CAT] Other
1905,Կոնֆետներ Պանդա Գրանդ Քենդի կգ / 00 112,Grand Candy,Food Products,Կոնֆետներ Պանդա Գրանդ Քենդի կգ / 00 112 [BRAND] Grand Candy [CAT] Food Products
4803,ԱՆՁԵՌՈՑԻԿ ՔԱՇՈՎԻ SILK SOFT 250Հ,Silk Soft,Household,ԱՆՁԵՌՈՑԻԿ ՔԱՇՈՎԻ SILK SOFT 250Հ [BRAND] Silk Soft [CAT] Household
2103,Արտֆուդ N4 կետչուպ 250մլ,Artfood,Food Products,Արտֆուդ N4 կետչուպ 250մլ [BRAND] Artfood [CAT] Food Products
403,ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ,Marianna,Other,ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ [BRAND] Marianna [CAT] Other
1602,Շպիկ Աթենք 1կգ,Athenk,Other,Շպիկ Աթենք 1կգ [BRAND] Athenk [CAT] Other
6302,ԱՆԿՈՂՆԱՅԻՆ ՍՊԻՏԱԿԵՂԵՆ ՏՊԱԳՐՎԱԾ ԲԱՄԲԱԿԵ ՄԱՆՎԱԾՔԻՑ 21 ՀԱՏ ZARA HOME,Zara,Other,ԱՆԿՈՂՆԱՅԻՆ ՍՊԻՏԱԿԵՂԵՆ ՏՊԱԳՐՎԱԾ ԲԱՄԲԱԿԵ ՄԱՆՎԱԾՔԻՑ 21 ՀԱՏ ZARA HOME [BRAND] Zara [CAT] Other
406,Բիոկաթնաշոռ Մարիաննա 9 90գր,Marianna,Food Products,Բիոկաթնաշոռ Մարիաննա 9 90գր [BRAND] Marianna [CAT] Food Products
1806,Կոնֆետ Թռչնի Կաթ Գրանդ Քենդի,Grand Candy,Food Products,Կոնֆետ Թռչնի Կաթ Գրանդ Քենդի [BRAND] Grand Candy [CAT] Food Products
1806,Շոկ սալիկ Միլկա Ընկ 90 գ,Milka,Other,Շոկ սալիկ Միլկա Ընկ 90 գ [BRAND] Milka [CAT] Other
9603,S-19 Վալիկ,Unknown,Other,S-19 Վալիկ [BRAND] Unknown [CAT] Other
1704,Ապաչի պեչենի կգ,Apache,Other,Ապաչի պեչենի կգ [BRAND] Apache [CAT] Other
4016,1997Թ MERCEDES-BENZ ՄԱՐԴԱՏԱՐ ԱՎՏՈՄԵՔԵՆԱՅԻ ՇԱՐԺԻՉԻ ՀԵՆԱԲԱՐՁԵՐ ՄԵՏԱՂՈՎ ԼՑՎԱԾ ՎՈՒԼԿԱՆԱՑՎԱԾ ՌԵՏԻՆԻՑ LEMFOERDER ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆՈՎ ZF ՖԻՐՄԱՅԻ ԱՐՏԻԿՈՒԼ 25061 01 - 10ՀԱՏ ՀՀ ՊԵԿ Մ Ս ՕԲՅԵԿՏՆԵՐԻ ԳՐԱՆՑԱՄԱՏՅԱՆԻ ԹԻՎ 627 ՏՈՂ,Mercedes-Benz,Auto Parts,1997Թ MERCEDES-BENZ ՄԱՐԴԱՏԱՐ ԱՎՏՈՄԵՔԵՆԱՅԻ ՇԱՐԺԻՉԻ ՀԵՆԱԲԱՐՁԵՐ ՄԵՏԱՂՈՎ ԼՑՎԱԾ ՎՈՒԼԿԱՆԱՑՎԱԾ ՌԵՏԻՆԻՑ LEMFOERDER ԱՊՐԱՆՔԱՅԻՆ ՆՇԱՆՈՎ ZF ՖԻՐՄԱՅԻ ԱՐՏԻԿՈՒԼ 25061 01 - 10ՀԱՏ ՀՀ ՊԵԿ Մ Ս ՕԲՅԵԿՏՆԵՐԻ ԳՐԱՆՑԱՄԱՏՅԱՆԻ ԹԻՎ 627 ՏՈՂ [BRAND] Mercedes-Benz [CAT] Auto Parts
6116,Ձեռնոց կանաչ սինթեթիկ,Unknown,Other,Ձեռնոց կանաչ սինթեթիկ [BRAND] Unknown [CAT] Other
8512,MERCEDES-BENZ ՄԱԿՆԻՇԻ W202 ԹԱՓՔՈՎ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԻ ԹԱՐԹԻՉ-ԸՆԴԱՏԻՉՆԵՐ ՕԳՏԱԳՈՐԾՎԱԾ ԸՍՏ Փ/Ե 07412301 ԱՌ 20 10 2023Թ,Mercedes-Benz,Auto Parts,MERCEDES-BENZ ՄԱԿՆԻՇԻ W202 ԹԱՓՔՈՎ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԻ ԹԱՐԹԻՉ-ԸՆԴԱՏԻՉՆԵՐ ՕԳՏԱԳՈՐԾՎԱԾ ԸՍՏ Փ/Ե 07412301 ԱՌ 20 10 2023Թ [BRAND] Mercedes-Benz [CAT] Auto Parts
2001,կարմիր պղպեղի մարինադ 500գ ռոյալ,Royal,Other,կարմիր պղպեղի մարինադ 500գ ռոյալ [BRAND] Royal [CAT] Other
3004,Բրլիանտ կանաչ 1 10մլ /էսկուլապ,Unknown,Other,Բրլիանտ կանաչ 1 10մլ /էսկուլապ [BRAND] Unknown [CAT] Other
2204,Գինի Արտ Արմենիա Նռան կիսաքաղցր 0 75լ,Art Armenia,Beverages,Գինի Արտ Արմենիա Նռան կիսաքաղցր 0 75լ [BRAND] Art Armenia [CAT] Beverages
2003,Աջիկա Արտֆուդ 380գ,Artfood,Other,Աջիկա Արտֆուդ 380գ [BRAND] Artfood [CAT] Other
8516,ԿԵՆՑԱՂԱՅԻՆ ՍԱԼՕՋԱԽ ՆԵՐԿԱՌՈՒՑՎՈՂ ԿԵՐԱՄԻԿԱԿԱՆ ԱՊԱԿՈՒՑ ՄԱԿԵՐԵՎՈՒՅԹՈՎ ՈՉ ԻՆԴՈՒԿՑԻՈՆ 4 ԷԼԵԿՏՐԱԿԱՆ ԱՅՐԻՉՆԵՐՈՎ NZ64T3516AK/WT SAMSUNG ԱՊՐԱՆՔԱՆՇԱՆԻ,Samsung,Electronics,ԿԵՆՑԱՂԱՅԻՆ ՍԱԼՕՋԱԽ ՆԵՐԿԱՌՈՒՑՎՈՂ ԿԵՐԱՄԻԿԱԿԱՆ ԱՊԱԿՈՒՑ ՄԱԿԵՐԵՎՈՒՅԹՈՎ ՈՉ ԻՆԴՈՒԿՑԻՈՆ 4 ԷԼԵԿՏՐԱԿԱՆ ԱՅՐԻՉՆԵՐՈՎ NZ64T3516AK/WT SAMSUNG ԱՊՐԱՆՔԱՆՇԱՆԻ [BRAND] Samsung [CAT] Electronics
6106,ւզ ԶԱՌԱ կոդ 399 շատ բուլաֆկա,Zara,Other,ւզ ԶԱՌԱ կոդ 399 շատ բուլաֆկա [BRAND] Zara [CAT] Other
1905,Կրեկեր Apache 35գ,Apache,Other,Կրեկեր Apache 35գ [BRAND] Apache [CAT] Other
1806,Բոն Թենդեր Ռոշեն 120գ,Roshen,Other,Բոն Թենդեր Ռոշեն 120գ [BRAND] Roshen [CAT] Other
1905,Կրուասան շոկոլադային միջուկով Դարոինկ 360գր,Unknown,Food Products,Կրուասան շոկոլադային միջուկով Դարոինկ 360գր [BRAND] Unknown [CAT] Food Products
3004,Ներկ մազերի GARINER 3 61 сочная ежевика 54744,Unknown,Cosmetics,Ներկ մազերի GARINER 3 61 сочная ежевика 54744 [BRAND] Unknown [CAT] Cosmetics
403,Մարիաննա Կեֆիր 450գ,Marianna,Food Products,Մարիաննա Կեֆիր 450գ [BRAND] Marianna [CAT] Food Products
2103,7 Արտֆուդ իտալական 400 գր,Artfood,Other,7 Արտֆուդ իտալական 400 գր [BRAND] Artfood [CAT] Other
1601,Բժշկական Գանձասար 310գ հատ,Ganjasar,Other,Բժշկական Գանձասար 310գ հատ [BRAND] Ganjasar [CAT] Other
4014,Լոգանքի Գել NIVEA Օվկիանոս 250մլ,Nivea,Cosmetics,Լոգանքի Գել NIVEA Օվկիանոս 250մլ [BRAND] Nivea [CAT] Cosmetics
8215,Շիպցի Royal Ford B-H21 10,Royal,Other,Շիպցի Royal Ford B-H21 10 [BRAND] Royal [CAT] Other
2101,C NESCAFE GOLD Aroma intenso Jar 85g,Nescafe,Other,C NESCAFE GOLD Aroma intenso Jar 85g [BRAND] Nescafe [CAT] Other
6203,124603-BW 134-140 տղ կիսակոմբինեզոն սև/սպիտակ չա,Unknown,Clothing,124603-BW 134-140 տղ կիսակոմբինեզոն սև/սպիտակ չա [BRAND] Unknown [CAT] Clothing
4818,Փափուկ անձեռ Սիլկ սոֆթ 33 33 100հատ/1075,Silk Soft,Other,Փափուկ անձեռ Սիլկ սոֆթ 33 33 100հատ/1075 [BRAND] Silk Soft [CAT] Other
1905,Յաշկինո Թխվածքաբլիթ սերուցքային 190գ,Yashkino,Food Products,Յաշկինո Թխվածքաբլիթ սերուցքային 190գ [BRAND] Yashkino [CAT] Food Products
3306,Մածուկ ատամի Colgate 100մլ Մաքս Բլեսկ սպիտակ,Colgate,Other,Մածուկ ատամի Colgate 100մլ Մաքս Բլեսկ սպիտակ [BRAND] Colgate [CAT] Other
3004,Սպիրտ 96 500ml Armenia,Armenia,Other,Սպիրտ 96 500ml Armenia [BRAND] Armenia [CAT] Other
3924,վազ կեռամիկա AV-12041 կանաչ,Unknown,Auto Parts,վազ կեռամիկա AV-12041 կանաչ [BRAND] Unknown [CAT] Auto Parts
6112,135427-74 46 Կանացի լողազգեստ մուգ կանաչ չ 46,Unknown,Clothing,135427-74 46 Կանացի լողազգեստ մուգ կանաչ չ 46 [BRAND] Unknown [CAT] Clothing
8205,Վալիկի գլանակ 4/100մմ FINDER,Finder,Other,Վալիկի գլանակ 4/100մմ FINDER [BRAND] Finder [CAT] Other
4818,Տետր կանաչ 12թերթ,Unknown,Other,Տետր կանաչ 12թերթ [BRAND] Unknown [CAT] Other
1905,Թխվածքաբլիթ շաքարով Ռոշեն Մուլտի-Քեյք կակաո 180 գ,Roshen,Food Products,Թխվածքաբլիթ շաքարով Ռոշեն Մուլտի-Քեյք կակաո 180 գ [BRAND] Roshen [CAT] Food Products
8708,2013Թ RANGE ROVER SPORT ՄԱԿՆԻԻՇԻ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԵՐ 2 ՀԱՏ ԱՌԱՆՑ ՄԱԿՆՇՄԱՆ ԱՌԱՆՑ ԱՐՏԻԿՈՒԼ,Unknown,Other,2013Թ RANGE ROVER SPORT ՄԱԿՆԻԻՇԻ Ա/Մ-Ի ԱՌՋԵՎԻ ԱՆՎԱԹԵՎԵՐ 2 ՀԱՏ ԱՌԱՆՑ ՄԱԿՆՇՄԱՆ ԱՌԱՆՑ ԱՐՏԻԿՈՒԼ [BRAND] Unknown [CAT] Other
1905,Roshen Multi Cake 180գր,Roshen,Other,Roshen Multi Cake 180գր [BRAND] Roshen [CAT] Other
3402,Թ Փրփուր Ժիլետ 200մլ,Gillette,Clothing,Թ Փրփուր Ժիլետ 200մլ [BRAND] Gillette [CAT] Clothing
1905,Թխվացքաբլիթ Տոնդի 190գ Յաշկինո,Yashkino,Other,Թխվացքաբլիթ Տոնդի 190գ Յաշկինո [BRAND] Yashkino [CAT] Other
6404,ԿՏՈՐ ՍՊՈՐՏ ԿՈՇԻԿ ՏՂՈՒ Z7003-1-3,Unknown,Clothing,ԿՏՈՐ ՍՊՈՐՏ ԿՈՇԻԿ ՏՂՈՒ Z7003-1-3 [BRAND] Unknown [CAT] Clothing
3307,Nivea Men Գել սափրվելու համար 200մլ Մաքուր մաշկ,Nivea,Cosmetics,Nivea Men Գել սափրվելու համար 200մլ Մաքուր մաշկ [BRAND] Nivea [CAT] Cosmetics
1601,Երշիկ Գանձասար բժշկական եփած հատ,Ganjasar,Food Products,Երշիկ Գանձասար բժշկական եփած հատ [BRAND] Ganjasar [CAT] Food Products
